document1,document2,label,antecedent,
"아빠가 일어나고 나서 바로, 밑에 바로 옷이 있어서 그거 입고 바로 일어났어요.","그러면 ○○이는 언제 이렇게 있다가 일어난 거야, 누워 있다가 언제 일어났어? ",,○○이,
아프다고 했어요.,"그날 아빠가 ○○이 가슴을, 손가락으로 젖꼭지를 잡고 만지고 했을 때 ○○이는 어떻게 행동했어? ",,○○이,
살살하던데.,그랬더니 아빠가 뭐래? ,,아빠,
애들한테 말하지 말라고. ,"그랬더니 아빠가 뭐래? 
살살하던데.
그리고 더 한 이야기라든가 이런 게 있을까? ",,아빠,
다 하고 나서 했을 거예요. ,"그랬더니 아빠가 뭐래? 
살살하던데.
그리고 더 한 이야기라든가 이런 게 있을까?
애들한테 말하지 말라고. 그러니까 친구들한테 아빠가 가슴 만지니 그런 얘기하지 말라고. 
그거는 얘기 언제 한 거야? ",,아빠,
처음에 할 때는 하지 말라고 했어요. ,아빠가 처음에 ○○이 옆에서 누워 있다가 가슴도 만지고 삽입도 했다는 건데 그 과정에서 ○○이가 보인 지금 얘기한 것처럼 하지 말라고 한다거나 밀친다거나 이런 행동이 있었어? ,,○○이,
밀치지 않고 그냥 하지 말라고 했어요. ,"아빠가 처음에 ○○이 옆에서 누워 있다가 가슴도 만지고 삽입도 했다는 건데 그 과정에서 ○○이가 보인 지금 얘기한 것처럼 하지 말라고 한다거나 밀친다거나 이런 행동이 있었어? 
처음에 할 때는 하지 말라고 했어요. ",,○○이,
밀쳐냈고.,"아빠가 처음에 ○○이 옆에서 누워 있다가 가슴도 만지고 삽입도 했다는 건데 그 과정에서 ○○이가 보인 지금 얘기한 것처럼 하지 말라고 한다거나 밀친다거나 이런 행동이 있었어? 
피해자	처음에 할 때는 하지 말라고 했어요. 밀치지 않고 그냥 하지 말라고 했어요. 
말로? 
네. 두 번째 할 때는",,○○이,
“하지 마라” 캤어요. ,"아빠가 처음에 ○○이 옆에서 누워 있다가 가슴도 만지고 삽입도 했다는 건데 그 과정에서 ○○이가 보인 지금 얘기한 것처럼 하지 말라고 한다거나 밀친다거나 이런 행동이 있었어? 
피해자	처음에 할 때는 하지 말라고 했어요. 밀치지 않고 그냥 하지 말라고 했어요. 
말로? 
네. 두 번째 할 때는 밀쳐냈고.
첫 번째 할 때 하지 말라고 한 거는 어떤 식으로 하지 말라고 한 거야? ",,○○이,
임신 중이었는데,"2012년 1월부터 ○○ 씨가 임신 중이었다는 것이지요.
예. 
그래서요,  ",,○○ 씨,
"그래서 올라갔는데,",임신 중이었는데 포천에 보름 있다가 시아빠가 당신들 나랑 같이 둘이 올라가자고 그랬습니다.,,당신들,
"저희 사는 집에 자꾸, 아니, 하루도 빠짐없이 아침이든, 저녁이든 술 취해서 오십니다. ","임신 중이었는데 포천에 보름 있다가 시아빠가 당신들 나랑 같이 둘이 올라가자고 그랬습니다. 그래서 올라갔는데, ",,시아빠,
아침에는 거기에서 저희 사는 집에 밥을 먹기도 하고 ,"임신 중이었는데 포천에 보름 있다가 시아빠가 당신들 나랑 같이 둘이 올라가자고 그랬습니다. 그래서 올라갔는데, 저희 사는 집에 자꾸, 아니, 하루도 빠짐없이 아침이든, 저녁이든 술 취해서 오십니다.",,시아빠,
밥 먹고 출근하시기도 하고 그랬습니다. ,"임신 중이었는데 포천에 보름 있다가 시아빠가 당신들 나랑 같이 둘이 올라가자고 그랬습니다. 그래서 올라갔는데, 저희 사는 집에 자꾸, 아니, 하루도 빠짐없이 아침이든, 저녁이든 술 취해서 오십니다. 아침에는 거기에서 저희 사는 집에 밥을 먹기도 하고 ",,시아빠,
"예, 저녁에는 술 취해서 오셔가지고 ","임신 중이었는데 포천에 보름 있다가 시아빠가 당신들 나랑 같이 둘이 올라가자고 그랬습니다. 그래서 올라갔는데, 저희 사는 집에 자꾸, 아니, 하루도 빠짐없이 아침이든, 저녁이든 술 취해서 오십니다. 아침에는 거기에서 저희 사는 집에 밥을 먹기도 하고 밥 먹고 출근하시기도 하고 그랬습니다. 
그랬었어요.",,시아빠,
그때부터 몸을 만지기 시작했습니다. ,"임신 중이었는데 포천에 보름 있다가 시아빠가 당신들 나랑 같이 둘이 올라가자고 그랬습니다. 그래서 올라갔는데, 저희 사는 집에 자꾸, 아니, 하루도 빠짐없이 아침이든, 저녁이든 술 취해서 오십니다. 아침에는 거기에서 저희 사는 집에 밥을 먹기도 하고 밥 먹고 출근하시기도 하고 그랬습니다. 
그랬었어요.
예, 저녁에는 술 취해서 오셔가지고",,시아빠,
상반신이든 하반신이든 다 만졌습니다.   ,"임신 중이었는데 포천에 보름 있다가 시아빠가 당신들 나랑 같이 둘이 올라가자고 그랬습니다. 그래서 올라갔는데, 저희 사는 집에 자꾸, 아니, 하루도 빠짐없이 아침이든, 저녁이든 술 취해서 오십니다. 아침에는 거기에서 저희 사는 집에 밥을 먹기도 하고 밥 먹고 출근하시기도 하고 그랬습니다. 
그랬었어요.
예, 저녁에는 술 취해서 오셔가지고 그때부터 몸을 만지기 시작했습니다. ",,시아빠,
시아버지가 오는지 몰랐습니다.,임신 3개월 다가올 무렵이었는데 저는 자고 있었습니다.,,저,
문 열고 ,시아버지가 오는지 몰랐습니다.,,시아버지,
"술 취해서 오시더니,",시아버지가 오는지 몰랐습니다. 문 열고,,시아버지,
문 열고 오시더니,"시아버지가 오는지 몰랐습니다. 문 열고 술 취해서 오시더니,",,시아버지,
제 몸을 막 만지고,"시아버지가 오는지 몰랐습니다. 문 열고 술 취해서 오시더니, 문 열고 오시더니",,시아버지,
"살려달라고, 막 소리 지르니까","문 열고 술 취해서 오시더니, 문 열고 오시더니 제 몸을 막 만지고 제가 그때 소리 질렀습니다. ",,제,
입을 틀어막더라고요.,"시아버지가 오는지 몰랐습니다. 문 열고 술 취해서 오시더니, 문 열고 오시더 제 몸을 막 만지고 제가 그때 소리 질렀습니다. 살려달라고, 막 소리 지르니까",,시아버지,
"소리 지르지 마라, 아들한테 말하지도 말고 표정을 뭐라고 해야 되나, 아무렇지 않은 듯이 지으라고 이런 말씀하셨습니다.","시아버지가 오는지 몰랐습니다. 문 열고 술 취해서 오시더니, 문 열고 오시더 제 몸을 막 만지고 제가 그때 소리 질렀습니다. 살려달라고, 막 소리 지르니까 입을 틀어막더라고요.",,시아버지,
그러다가 가시고 난 뒤에,시아버지랑 같이 밥 먹고 있었습니다. 괜히 눈치 보이고 그래서 ,,시아버지,
“이야기해.” 했습니다. ,괜히 눈치 보이고 그래서 그러다가 가시고 난 뒤에 애아버지한테 무슨 일 있었지 이러면서 그러는 겁니다. ,,애아버지,
자고 있는데,그러면 ○○ 씨는 그날 시아버지가 오는 건 처음 알았나요. 시아버지가 집에 들어온 것은 언제 처음 알았나요. ,,○○ 씨,
몸 만지니까,"그러면 ○○ 씨는 그날 시아버지가 오는 건 처음 알았나요. 시아버지가 집에 들어온 것은 언제 처음 알았나요.   
자고 있는데 ",,○○ 씨,
그때부터 알게 되었습니다.,"그러면 ○○ 씨는 그날 시아버지가 오는 건 처음 알았나요. 시아버지가 집에 들어온 것은 언제 처음 알았나요.   
자고 있는데 몸 만지니까 ",,○○ 씨,
가슴 만질 때였습니다.,"그러면 ○○ 씨가 자다가, 자고 있었는데 시아빠가 ○○ 씨 몸을 만졌다고 하잖아요. 그 몸을 만지던 그때 아주 자세하게 이야기해주실 수 있나요. 어떤 식으로 만졌는지 이런 것들을 제가 알지 못하잖아요. ",,시아빠,
그때부터 알게 된 겁니다.,"그러면 ○○ 씨가 자다가, 자고 있었는데 시아빠가 ○○ 씨 몸을 만졌다고 하잖아요. 그 몸을 만지던 그때 아주 자세하게 이야기해주실 수 있나요. 어떤 식으로 만졌는지 이런 것들을 제가 알지 못하잖아요. 
가슴 만질 때였습니다.",,○○ 씨,
5:30에 나가거든요.,오빠가 새벽에 일하러 갈 때였는데,,오빠,
"아들 없을 때만 오는 구나,","그러면 ○○ 씨가 자다가, 자고 있었는데 시아빠가 ○○ 씨 몸을 만졌다고 하잖아요. 그 몸을 만지던 그때 아주 자세하게 이야기해주실 수 있나요. 어떤 식으로 만졌는지 이런 것들을 제가 알지 못하잖아요. 
가슴 만질 때였습니다. 그때부터 알게 된 겁니다. 오빠가 새벽에 일하러 갈 때였는데 5:30에 나가거든요.",,시아빠,
그때 부터 알게 되었습니다.,"그러면 ○○ 씨가 자다가, 자고 있었는데 시아빠가 ○○ 씨 몸을 만졌다고 하잖아요. 그 몸을 만지던 그때 아주 자세하게 이야기해주실 수 있나요. 어떤 식으로 만졌는지 이런 것들을 제가 알지 못하잖아요. 
가슴 만질 때였습니다. 그때부터 알게 된 겁니다. 오빠가 새벽에 일하러 갈 때였는데 5:30에 나가거든요. 아들 없을 때만 오는 구나,",,○○ 씨,
"가슴이든 엉덩이든 다 만지고,","그러면 ○○ 씨가 자다가, 자고 있었는데 시아빠가 ○○ 씨 몸을 만졌다고 하잖아요. 그 몸을 만지던 그때 아주 자세하게 이야기해주실 수 있나요. 어떤 식으로 만졌는지 이런 것들을 제가 알지 못하잖아요. 
가슴 만질 때였습니다. 그때부터 알게 된 겁니다. 오빠가 새벽에 일하러 갈 때였는데 5:30에 나가거든요. 아들 없을 때만 오는 구나, 그때 부터 알게 되었습니다.",,시아빠,
저는 깜짝 놀래가지고,"그러면 ○○ 씨가 자다가, 자고 있었는데 시아빠가 ○○ 씨 몸을 만졌다고 하잖아요. 그 몸을 만지던 그때 아주 자세하게 이야기해주실 수 있나요. 어떤 식으로 만졌는지 이런 것들을 제가 알지 못하잖아요. 
가슴 만질 때였습니다. 그때부터 알게 된 겁니다. 오빠가 새벽에 일하러 갈 때였는데 5:30에 나가거든요. 아들 없을 때만 오는 구나, 그때 부터 알게 되었습니다. 가슴이든 엉덩이든 다 만지고,",,○○ 씨,
소리 지르니까,"그러면 ○○ 씨가 자다가, 자고 있었는데 시아빠가 ○○ 씨 몸을 만졌다고 하잖아요. 그 몸을 만지던 그때 아주 자세하게 이야기해주실 수 있나요. 어떤 식으로 만졌는지 이런 것들을 제가 알지 못하잖아요. 
가슴 만질 때였습니다. 그때부터 알게 된 겁니다. 오빠가 새벽에 일하러 갈 때였는데 5:30에 나가거든요. 아들 없을 때만 오는 구나, 그때 부터 알게 되었습니다. 가슴이든 엉덩이든 다 만지고, 저는 깜짝 놀래가지고",,○○ 씨,
소리 지르지 말라고 입을 틀어막았습니다.,"그러면 ○○ 씨가 자다가, 자고 있었는데 시아빠가 ○○ 씨 몸을 만졌다고 하잖아요. 그 몸을 만지던 그때 아주 자세하게 이야기해주실 수 있나요. 어떤 식으로 만졌는지 이런 것들을 제가 알지 못하잖아요. 
가슴 만질 때였습니다. 그때부터 알게 된 겁니다. 오빠가 새벽에 일하러 갈 때였는데 5:30에 나가거든요. 아들 없을 때만 오는 구나, 그때 부터 알게 되었습니다. 가슴이든 엉덩이든 다 만지고, 저는 깜짝 놀래가지고 소리 지르니까 ",,시아빠,
왼쪽으로 돌고 오른쪽 가슴을 만졌습니다.,시아버지가 가슴 어디를 만지고 있었나요. ,,시아버지,
"자고 있었는데 무방비 상태로,",○○ 씨는 그때 어떻게 있었나요. ,,○○ 씨,
왼쪽으로 돌아서 자고 있었습니다.,"○○ 씨는 그때 어떻게 있었나요. 
자고 있었는데 무방비 상태로,
어떻게 자고 있었는지 자세를 물어보는 거거든요. 어떤 자세로 자고 있었나요.  ",,○○ 씨,
옆으로 자고 있었습니다. ,"○○ 씨는 그때 어떻게 있었나요. 
자고 있었는데 무방비 상태로,
어떻게 자고 있었는지 자세를 물어보는 거거든요. 어떤 자세로 자고 있었나요.  
왼쪽으로 돌아서 자고 있었습니다.
왼쪽 돌아서 자고 있었으면 옆으로 자고 있었던 건가요, 아니면 똑바로 자고 있었던 건가요.  ",,○○ 씨,
조몰락거렸습니다.,"옆으로, 옆으로 왼쪽으로 돌아서 자고 있었는데 그 시아버지가 ○○ 씨 어느 쪽 가슴을 만지고 있었나요.  
오른쪽.
○○ 씨 오른쪽 가슴을 만지고 있었나요.  
예. 
가슴을 어떻게 만지고 있었나요.  ",,시아버지,
바로 제 옆에 있었습니다.,시아버지는 어디에 있었나요. ,,시아버지,
그 다음에는 제 바지에 손 넣어가지고 ,"시아버지는 어디에 있었나요.  
바로 제 옆에 있었습니다.
○○ 씨 옆에서 그렇게 했다는 거구나. 
예. 
가슴 만지고 그 다음에는요.  ",,시아버지,
팬티를 만지고 있었습니다.,"시아버지는 어디에 있었나요.  
바로 제 옆에 있었습니다.
○○ 씨 옆에서 그렇게 했다는 거구나. 
예. 
가슴 만지고 그 다음에는요.  
그 다음에는 제 바지에 손 넣어가지고",,시아버지,
그래서 하지 말라고 소리를 질렀습니다.    ,"시아버지는 어디에 있었나요.  
바로 제 옆에 있었습니다.
○○ 씨 옆에서 그렇게 했다는 거구나. 
예. 
가슴 만지고 그 다음에는요.  
그 다음에는 제 바지에 손 넣어가지고 팬티를 만지고 있었습니다. ",,제,
하지 말라고 살려달라고 울면서,"제가 그때부터 소리를 질렀습니다.   
바지 속으로 손을 넣어서 팬티를 만질 무렵에, 그때 소리를 질렀나요.  
예, ",,제,
오빠가 오니까 급하게 허겁지겁 옷을 입더라고요. ,"아빠하지 말라고, 살려달라고, 소리 질렀습니다.   
그랬더니, 
그랬더니 몇 십분 지나고 흘러서 오빠가 오는 겁니다. ",,아빠,
아버지 가시고 나서 무슨 일이 있었냐고 저한테 물었습니다.,그 오빠 오는 소리 듣고 허겁지겁 옷을 입고 그 직후에는 무슨 일이 있었나요. ,,오빠,
"제가 말을 하니까 알게 된 거고, ","그래서 오빠도 알게 된 거고,",,오빠,
말 했는데,"그래서 오빠도 알게 된 거고, 제가 말을 하니까 알게 된 거고, ",,제,
"진짜 싫다고 이야기하고, ","알겠어요, 그러면 그 시아빠가 ○○ 씨 가슴을 이렇게 만질 때 ○○ 씨는 무슨 생각을 했나요. 생각한 거 있나요.",,○○ 씨,
그런 거에 대해서 진짜 싫다고 시아버지한테 말했습니다.,"알겠어요, 그러면 그 시아빠가 ○○ 씨 가슴을 이렇게 만질 때 ○○ 씨는 무슨 생각을 했나요. 생각한 거 있나요. 진짜 싫다고 이야기하고,",,○○ 씨,
술김이었다고 그런 말 하셨습니다. ,"저는 싫다고 말했을 때 아버지는, 제가 봤을 때 어리숙한가 봅니다.  
그래서요.  ",,아버지,
술김에 그랬다고 했습니다.,"저는 싫다고 말했을 때 아버지는, 제가 봤을 때 어리숙한가 봅니다.  
그래서요.  
술김이었다고 그런 말 하셨습니다. 
술김에 그랬다고 그 말을 언제 했나요.  
제가 마당에 운동하러 간다고 하니까 그냥 걷는 운동, 밖에 마당에 나가니까 마주친 겁니다.",,아버지,
기분 더러웠습니다.,시아빠가 가슴만지고 ○○ 씨 이제 팬티 위에 만지고 이랬을 때 솔직히 기분이 어땠나요. ,,○○ 씨,
무방비 상태로 그러니까 ,"그리고 그때 시아빠가 ○○ 씨 가슴만지고 팬티 위를 만졌을 때, ○○ 씨가 들었던 다른 기분이나 생각이 있나요.",,시아빠,
너무 당황스럽고 ,"그리고 그때 시아빠가 ○○ 씨 가슴만지고 팬티 위를 만졌을 때, ○○ 씨가 들었던 다른 기분이나 생각이 있나요.   
무방비 상태로 그러니까",,○○ 씨,
"이것을 어떻게 해야 하나,  당황스럽고 어떻게 해야 하나, 경찰에 신고해야 되나, 어떻게 해야 될지 몰랐습니다.","그리고 그때 시아빠가 ○○ 씨 가슴만지고 팬티 위를 만졌을 때, ○○ 씨가 들었던 다른 기분이나 생각이 있나요.   
무방비 상태로 그러니까 너무 당황스럽고 ",,○○ 씨,
놀라더라구요.,"소리 질렀더니 시아빠가 입을 막았다고 그랬는데 그것에 대해서 조금 자세히 이야기해 줄 수 있나요.    
소리 지르니까",,시아빠,
입을 틀어막기도 했습니다. ,"소리 질렀더니 시아빠가 입을 막았다고 그랬는데 그것에 대해서 조금 자세히 이야기해 줄 수 있나요.    
소리 지르니까 놀라더라구요. ",,시아빠,
"조용히 하라고, 조용히 해라, 뭐 아들한테 이야기하지 말라고 했고 ",그때 입 틀어막으면서 했던 행동 말고는 없었다고 했는데 그 과정에서 시아버지가 한 말이나 이런 게 있나요.,,시아버지,
오빠한테는 뭐 표정을 아무렇지 않게 해라는 그 말씀하셨습니다.,"그때 입 틀어막으면서 했던 행동 말고는 없었다고 했는데 그 과정에서 시아버지가 한 말이나 이런 게 있나요.  
조용히 하라고, 조용히 해라, 뭐 아들한테 이야기하지 말라고 했고 ",,시아버지,
갔어요.,"그리고 아들 없을 때 번호, 저한테 전화해서 내방으로 오라는 거예요. “○○아, 내방으로 와라.” 그러시는 거예요.",,저,
막 도망 다니고 ,"그리고 아들 없을 때 번호, 저한테 전화해서 내방으로 오라는 거예요. “○○아, 내방으로 와라.” 그러시는 거예요. 갔어요. 술 취해가지고, 갔어요. 그런데 “나랑 한번 하자.” 이러시는 거예요.",,저,
"막 뿌리치기도 하고, ","그리고 아들 없을 때 번호, 저한테 전화해서 내방으로 오라는 거예요. “○○아, 내방으로 와라.” 그러시는 거예요. 갔어요. 술 취해가지고, 갔어요. 그런데 “나랑 한번 하자.” 이러시는 거예요. 막 도망 다니고 ",,저,
"나왔어요, 마당으로. ","그리고 아들 없을 때 번호, 저한테 전화해서 내방으로 오라는 거예요. “○○아, 내방으로 와라.” 그러시는 거예요. 갔어요. 술 취해가지고, 갔어요. 그런데 “나랑 한번 하자.” 이러시는 거예요. 막 도망 다니고 막 뿌리치기도 하고, ",,저,
오른 쪽 유두 부위에 이렇게 하더라고요.,그러면 처음에 나한테 얘기해줬었을 때 ○○ 씨가 자고 있는데 시아빠가 들어와가지고 가슴을 만지고 밑에를 만지고 했었다고 얘기를 했어요. 그런데 가슴은 어디로 만진 거예요?,,시아빠,
옷 속에 넣어가지고 ,그러면 시아빠가 브래지어를 어떻게 해가지고 안으로 만진 거예요?,,시아빠,
브래지어 위를 만지고 있다가 ,"그러면 시아빠가 브래지어를 어떻게 해가지고 안으로 만진 거예요? 
옷 속에 넣어가지고 ",,시아빠,
그 안에 넣은 거예요. ,"그러면 시아빠가 브래지어를 어떻게 해가지고 안으로 만진 거예요? 
옷 속에 넣어가지고 브래지어 위를 만지고 있다가 ",,시아빠,
만지고 있다가 ,그리고 나서 그 손이 어떻게? ,,손,
팬티 쪽으로.,"그리고 나서 그 손이 어떻게? 
만지고 있다가 ",,손,
그래서 기장에 가서,제가 그때 집에서 기장에 갈 일이 있었어요. ,,제,
그래 가지고 차라리 버스 타고 가지 말고 그냥 걸어가야지 했는데 ,"제가 그때 집에서 기장에 갈 일이 있었어요. 그래서 기장에 가서 일 있었다가 다시 집에, 버스 타려면 시간이 많이 기다려야 되는 거예요.",,제,
걸어가다가요 ,"제가 그때 집에서 기장에 갈 일이 있었어요. 그래서 기장에 가서 일 있었다가 다시 집에, 버스 타려면 시간이 많이 기다려야 되는 거예요. 그래 가지고 차라리 버스 타고 가지 말고 그냥 걸어가야지 했는데",,제,
순간 속으로 ‘어? 뭐지? 집에 데려다 주는 사람이 여기 왜 그러지?’ 이러면서,"타다가 저는 막 그냥 집에 데려다 준다니까 집에 가겠지 싶었는데 집에 가다가, 집에 오는 길에 그러니까 집에 오는 길에다가 뭐... 무슨 하늘마을인가 그 다른 길로 새는 거예요. ",,저,
‘잠깐 여기 좀 들렸다 가자’라고 말을 했었거든요. ,"순간 속으로 ‘어? 뭐지? 집에 데려다 주는 사람이 여기 왜 그러지?’ 이러면서 ‘잠깐, 여기 좀’ 그 아저씨가 이랬거든요.",,그 아저씨,
그냥 그렇게 생각 했어요.,"그래 가지고 ‘아, 뭐 볼 일이 있어서 그런가 보지’ 저는요. 그렇게 생각 했었거든요. 뭐 거기에 논이, 논밭이 되어 있으면 그거 보러 가는가 보지 ",,저,
타서 ,그래 가지고 그게 그렇게 되어 있어서 막 그 아저씨가 차에서 내려서 뒤에 탔어요.,,그 아저씨,
저의 가슴과 그 밑에. 그 거기를 만지면서 ,그래 가지고 그게 그렇게 되어 있어서 막 그 아저씨가 차에서 내려서 뒤에 탔어요. 타서 저의 가슴과 그 밑에.,,그 아저씨,
입에다가 뽀뽀까지 했는데,그래 가지고 그게 그렇게 되어 있어서 막 그 아저씨가 차에서 내려서 뒤에 탔어요. 타서 저의 가슴과 그 밑에. 그 거기를 만지면서,,그 아저씨,
"기억은 잘 나지 않는데,","그 거기를 만지면서 입에다가 뽀뽀까지 했는데, 제가 그때 마침 생리 중이었었던가 그랬었거든요. 그래 가지고 그 아저씨가 아마 가슴만 만졌을 거예요. ",,제,
가슴만 만졌던 것 같아요.,"그 거기를 만지면서 입에다가 뽀뽀까지 했는데, 제가 그때 마침 생리 중이었었던가 그랬었거든요. 그래 가지고 그 아저씨가 아마 가슴만 만졌을 거예요. 기억은 잘 나지 않는데,",,그 아저씨,
그래 가지고 집에 왔어요.,그래 가지고 그렇게 하다가 제가 아저씨 번호를 좀 달라고 말을 했었거든요. 그랬더니만 그 아저씨가 ‘번호 알아서 뭐하게?‘ 이런 식으로 번호 모른다는 그런 식으로 얘기하는 거예요.,,제,
"근데 집에 와서 차번호를 빨리 휴대폰에다가 저장 시키고, ",그래 가지고 그렇게 하다가 제가 아저씨 번호를 좀 달라고 말을 했었거든요. 그랬더니만 그 아저씨가 ‘번호 알아서 뭐하게?‘ 이런 식으로 번호 모른다는 그런 식으로 얘기하는 거예요. 그래 가지고 집에 왔어요.,,제,
"차 번호 이렇게 저장 시켜 놓고,","그래 가지고 그렇게 하다가 제가 아저씨 번호를 좀 달라고 말을 했었거든요. 그랬더니만 그 아저씨가 ‘번호 알아서 뭐하게?‘ 이런 식으로 번호 모른다는 그런 식으로 얘기하는 거예요. 그래 가지고 집에 왔어요. 근데 집에 와서 차번호를 빨리 휴대폰에다가 저장 시키고, ",,제,
그 말 듣고. ,아무튼 경찰이 왔어요. ,,경찰,
그래 가지고 진짜 와서,아무튼 경찰이 왔어요. 그 말 듣고.,,경찰,
그래 가지고 사진 찍다가 ,"현장을 갔는데 막 사진 찍, 경찰아저씨가 사진 찍고 그러는데 바퀴가 진흙에 밟힌 자국이 있는 거예요. ",,경찰아저씨,
"그래서 차에 타 있었는데,",저는 ‘이 아저씨 맞아요‘ 이렇게 얘기하고 저는 경찰아저씨가 차에 타 있으라고 하더라고요. ,,저,
약간 좀 이상했었어요. ,그때 다른 쪽에 갈 때 기분은 어땠어요? 다른 방향으로 갈 때. ,,기분,
"그러더니만 막 저한테 기대는 것처럼 저의 가슴과 밑에를 만졌었는데, ",차를 세우고 나서 그 아저씨가 바깥으로 나와서 운전석이 여기 있으면 이쪽 문을 열어서 딱 탔어요. ,,그 아저씨,
생리중이 아니었었을 거예요.,"그러더니만 막 저한테 기대는 것처럼 저의 가슴과 밑에를 만졌었는데, 제가 그때 생리 중이었었던가 그래 가지고... 아,",,제,
"생리중이 아니었었고,","그러더니만 막 저한테 기대는 것처럼 저의 가슴과 밑에를 만졌었는데, 제가 그때 생리 중이었었던가 그래 가지고... 아, 생리중이 아니었었을 거예요.",,제,
"그냥 밑에 만지고, ","차를 세우고 나서 그 아저씨가 바깥으로 나와서 운전석이 여기 있으면 이쪽 문을 열어서 딱 탔어요. 그러더니만 막 저한테 기대는 것처럼 저의 가슴과 밑에를 만졌었는데, 제가 그때 생리 중이었었던가 그래 가지고... 아, 생리중이 아니었었을 거예요. 생리중이 아니었었고,",,그 아저씨,
가슴 만지고...,"차를 세우고 나서 그 아저씨가 바깥으로 나와서 운전석이 여기 있으면 이쪽 문을 열어서 딱 탔어요. 그러더니만 막 저한테 기대는 것처럼 저의 가슴과 밑에를 만졌었는데, 제가 그때 생리 중이었었던가 그래 가지고... 아, 생리중이 아니었었을 거예요. 생리중이 아니었었고, 그냥 밑에 만지고,",,그 아저씨,
제 옆에 와서 가슴을 만졌었어요. ,"탄 다음에 제일 먼저 뭐 했어요, 이 사람이? ",,이 사람,
그냥 이렇게 집어넣어서... 옷 속으로 이렇게...,"탄 다음에 제일 먼저 뭐 했어요, 이 사람이? 
제 옆에 와서 가슴을 만졌었어요. 
가슴을 만지는 거는 여러 방법이 있어요. 뭐 옷을 벗기고 만질 수도 있고... 
아니요.",,이 사람,
이상한 느낌이 들었죠. ,"그러면 그렇게 하고, 그렇게 가슴을 만질 때 ○○양은 어떻게 했어요? ",,○○양,
운전대에 앉아서 운전을 하고 ,만지다가... 만지다가... 그러니까 그 아저씨가 막 만지다가 딱 빼서,,그 아저씨,
다시 제가 그 버스터미널 거기까지 데려다주더라고요.,만지다가... 만지다가... 그러니까 그 아저씨가 막 만지다가 딱 빼서 운전대에 앉아서 운전을 하고 ,,그 아저씨,
"그래 가지고 내리자마자 바로 앞에, 차 앞에 와 가지고 번호를 보고, ",만지다가... 만지다가... 그러니까 그 아저씨가 막 만지다가 딱 빼서 운전대에 앉아서 운전을 하고 다시 제가 그 버스터미널 거기까지 데려다주더라고요.,,제,
번호 폰으로 찍어놓고 ,"만지다가... 만지다가... 그러니까 그 아저씨가 막 만지다가 딱 빼서 운전대에 앉아서 운전을 하고 다시 제가 그 버스터미널 거기까지 데려다주더라고요. 그래 가지고 내리자마자 바로 앞에, 차 앞에 와 가지고 번호를 보고,",,제,
차번호라고 딱 저장 시켜놓고,"만지다가... 만지다가... 그러니까 그 아저씨가 막 만지다가 딱 빼서 운전대에 앉아서 운전을 하고 다시 제가 그 버스터미널 거기까지 데려다주더라고요. 그래 가지고 내리자마자 바로 앞에, 차 앞에 와 가지고 번호를 보고, 번호 폰으로 찍어놓고 ",,제,
아무 것도 안 했어요. ,"그래요. 그러면 아저씨한테 따로 뭐 이렇게 아저씨가 그런 행동을 하는 과정에서 ○○양 가슴 만지고, 밑에 만지고 이러는 과정에서 ○○양이 하지 말라고 하거나 뭐 그런 말을 한 게 있어요? 
아니요. 
그런 말을 한 거는 없어요? 
네. 
그러면 하지 말라고 그 아저씨를 밀거나... ",,○○양,
그때도 DVD방 인근에 사진을 보내 달래요.,그날은 김동민을 어떻게 만났던 거야.,,김동민,
"몸 사진을 보내 달래요, 저보고.","그날은 김동민을 어떻게 만났던 거야.
그때도 DVD방 인근에 사진을 보내 달래요. 그래서 내가 “무슨 사진이냐” 하니까 ",,김동민,
그래 가지고 몸 사진을 속으로는 ‘몸 사진을 내가 왜 보내느냐’고 생각했는데 ,"그래서 내가 “무슨 사진이냐” 하니까 몸 사진을 보내 달래요, 저보고. ",,저,
끝까지 싫다고 해서,그래 가지고 몸 사진을 속으로는 ‘몸 사진을 내가 왜 보내느냐’고 생각했는데 오빠가 한 장을 보내 달래요.,,내,
사진 보내달라고 ,그래 가지고 몸 사진을 속으로는 ‘몸 사진을 내가 왜 보내느냐’고 생각했는데 오빠가 한 장을 보내 달래요. 끝까지 싫다고 해서 ,,오빠,
“그것 한 장도 못 보내 주냐”고,그래 가지고 몸 사진을 속으로는 ‘몸 사진을 내가 왜 보내느냐’고 생각했는데 오빠가 한 장을 보내 달래요. 끝까지 싫다고 해서 사진 보내달라고,,오빠,
“한 장도 안 되냐”고,그래 가지고 몸 사진을 속으로는 ‘몸 사진을 내가 왜 보내느냐’고 생각했는데 오빠가 한 장을 보내 달래요. 끝까지 싫다고 해서 사진 보내달라고 “그것 한 장도 못 보내 주냐”고 내가 “싫다”고 하니까 “한 장도 안 되냐”고,,오빠,
계속 애원한다는 식으로 계속하는 거예요,그래 가지고 몸 사진을 속으로는 ‘몸 사진을 내가 왜 보내느냐’고 생각했는데 오빠가 한 장을 보내 달래요. 끝까지 싫다고 해서 사진 보내달라고 “그것 한 장도 못 보내 주냐”고 내가 “싫다”고 하니까,,오빠,
